name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
cherry cooler,cocktail classics,2 oz,cherry vodka,,cola,,,,,,,,,"pour cherry vodka into collins glass over ice cubes. fill with cola, add a slice of lemon, and stir.",collins glass,14 to 16 ounces
polynesian cocktail,vodka,,"lime wedge, superfine sugar",1 1/2 oz,vodka,3/4 oz,cherry-flavored brandy,3/4 oz,fresh lime juice,,,,,rim chilled cocktail glass with lime and sugar. shake ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
chateau briand's rum cow,cocktail classics,1 1/4 oz,dark rum,1 oz,sugar,2 oz,bitters,3/4 oz,milk,,,,,blend and strain into a collins glass.,collins glass,14 to 16 ounces
champagne velvet,cocktail classics,5 oz,chilled stout,5 oz,chilled champagne,,,,,,,,,"see black velvet recipe on page 54.  pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix.",champagne flute,6 to 8 ounces
pink pussycat,vodka,1 1/2 oz,vodka,2 oz,pineapple or grapefruit juice,1/2 oz,grenadine,,,,,,,pour ingredients into ice-filled highball glass and stir.,highball glass,7 to 10 ounces
back porch swizzle,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,dry vermouth,1 oz,pineapple juice,1 oz,ginger beer,,,,fresh mint sprig,"pour first four ingredients in crushed ice-filled highball glass. with barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. float chartreuse on top, and garnish with mint.",highball glass,7 to 10 ounces
canadian pineapple,cocktail classics,1 1/2 oz,canadian whisky,1 oz,pineapple juice,1 oz,lemon juice,1/2 oz,maraschino,,,,,shake with ice and strain into old-fashioned glass over ice cubes. add a stick of pineapple.,old-fashioned glass,6 to 8 ounces
calm voyage,cocktail classics,1/2 oz,strega,1/2 oz,light rum,1 oz,passion fruit syrup,2 oz,lemon juice,1/2 oz,egg white,,,put all ingredients in blender with half a cup of crushed ice. blend at low speed and pour into champagne flute.,champagne flute,6 to 8 ounces
pink lemonade,vodka,1 1/2 oz,citrus-flavored vodka,1/4 oz,triple sec,1/4 oz,fresh lime juice,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,2 oz,"cranberry juice, lemon wheel",shake with ice and strain into ice-filled collins glass. garnish with lemon.,collins glass,14 to 16 ounces
caledonia,cocktail classics,1 oz,creme de cacao (brown),1 oz,brandy,1 oz,milk,1 oz,egg yolk,,,,,shake well with ice and strain into old-fashioned glass over ice cubes. sprinkle cinnamon on top.,old-fashioned glass,6 to 8 ounces
caf_ di amaretto,cocktail classics,1 oz,hot black coffee,1 oz,amaretto,,whipped cream,,,,,,,add 1 oz. amaretto to a cup of black coffee. top with whipped cream.,mug,
cafe de paris cocktail,cocktail classics,1 oz,egg white,1 oz,anis,1 oz,light cream,1 1/2 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
aztec's mark,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,white creme de cacao,1/4 oz,benedictine,2 oz,hot red pepper sauce,,,,,stir with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
fontainebleau special,brandy,1 oz,brandy,1 oz,anisette,1/2 oz,dry vermouth,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
suntan,cocktail classics,2 oz,hot shot tropical fruit liqueur,2 oz,orange juice,,,,,,,,,pour over ice in a highball glass. fill with club soda.,highball glass,7 to 10 ounces
sunburn,cocktail classics,2 oz,hot shot tropical fruit liqueur,2 oz,grapefruit juice,,,,,,,,,pour over ice in a highball glass. fill with club soda. add a dash of grenadine for color.,highball glass,7 to 10 ounces
suissesse cocktail,cocktail classics,2 oz,anisette,1 oz,egg white,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
strawberry sunries,cocktail classics,2 oz,strawberry schnapps,1/2 oz,grenadine,,,,,,,,,pour over ice in a highball glass. fill with orange juice. garnish with a fresh strawberry.,highball glass,7 to 10 ounces
autumn leaves,whiskies,3/4 oz,straight rye whiskey,3/4 oz,apple brandy,3/4 oz,sweet vermouth,1/4 oz,strega,2 oz,angostura bitters,,orange twist,stir with ice and strain into ice-filled old-fashioned glass. add orange twist.,old-fashioned glass,6 to 8 ounces
pickled pink,vodka,2 oz,vodka,1 oz,aquavit,1/2 oz,dill pickle brine,2 oz,angostura bitters,,,,,shake with ice and strain into cocktail glass. garnish with dill.,cocktail glass,6 or more ounces
aquarius,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,cherry-flavored brandy,1 oz,cranberry juice,,,,,,,shake with ice and strain into old-fashioned glass over ice.,old-fashioned glass,6 to 8 ounces
soul kiss cocktail,cocktail classics,1 1/2 oz,orange juice,1 1/2 oz,dubonnet,3/4 oz,dry vermouth,3/4 oz,bourbon,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
pickled martini,vodka,2 oz,vodka,1/4 oz,dry vermouth,3/4 oz,sweet pickle brine,1,sweet pickle slice,,,,,stir with ice and strain into chilled cocktail glass. garnish with pickle.,cocktail glass,6 or more ounces
sloe gin flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,sloe gin,2 oz,light cream (if desired),,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
angel's share,whiskies,1 1/2 oz,bourbon whiskey,1/2 oz,amaro,1/4 oz,creme de cassis,1 oz,orange bitters,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
silver stallion fizz,cocktail classics,1 oz,vanilla ice cream,2 oz,gin,,carbonated water,,,,,,,shake gin and ice cream with ice and strain into highball glass. fill with carbonated water and stir.,highball glass,7 to 10 ounces
silver king cocktail,cocktail classics,1 oz,egg white,1/4 oz,juice of a lemon,1 1/2 oz,gin,1/2 oz,powdered sugar,2 oz,orange bitters,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
american trilogy,whiskies,1 oz,"brown sugar cube, such as demerara",1 oz,straight rye whiskey,1 oz,applejack,,orange twist,,,,,"muddle sugar cube in mixer glass. add whiskey, applejack, and ice. stir and strain into chilled old-fashioned glass. add orange twist.",old-fashioned glass,6 to 8 ounces
silver fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,1 oz,egg white,,,,,shake with ice and strain into highball glass over two ice cubes.,highball glass,7 to 10 ounces
sherry twist cocktail,cocktail classics,1 oz,cream sherry,1/2 oz,brandy,1/2 oz,dry vermouth,1/2 oz,triple sec,1/2 oz,lemon juice,,,shake with ice and strain into cocktail glass. top with pinch of cinnamon and a twist of orange peel.,cocktail glass,6 or more ounces
sherry sangaree,cocktail classics,1/2 oz,powdered sugar,1 oz,water,2 oz,cream sherry,,carbonated water,1 oz,port,,,"in an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. add ice cubes and a splash of carbonated water, leaving enough room on which to float port. add port. sprinkle lightly with nutmeg.",old-fashioned glass,6 to 8 ounces
sherry milk punch,cocktail classics,1 oz,powdered sugar,2 oz,cream sherry,,,,,,,,,"shake with ice, strain into collins glass, and sprinkle nutmeg on top.",collins glass,14 to 16 ounces
petit zinc,vodka,1 oz,vodka,1/2 oz,triple sec,1/2 oz,sweet vermouth,1/2 oz,orange juice,,,,,shake with ice and strain into chilled cocktail glass. garnish with orange.,cocktail glass,6 or more ounces
sherry flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,cream sherry,2 oz,light cream (if desired),,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
sherry-and-egg cocktail,cocktail classics,,,2 oz,cream sherry,,,,,,,,,"place an egg in a cocktail glass, being careful not to break the yolk. add 2 oz. cream sherry.",cocktail glass,6 or more ounces
americana,whiskies,1 oz,tennessee whiskey,1/2 oz,simple syrup,2 oz,angostura bitters,,chilled american sparkling wine,,,,,stir first three ingredients in ice-filled collins glass. fill with sparkling wine. garnish with peach.,collins glass,14 to 16 ounces
allegheny,whiskies,1 oz,bourbon whiskey,1 oz,dry vermouth,1/2 oz,blackberry-flavored brandy,1/2 oz,fresh lemon juice,,,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
sevilla cocktail,cocktail classics,1/2 oz,powdered sugar,1 oz,whole egg,1 oz,port,1 oz,light rum,,,,,shake with ice and strain into sour glass.,sour glass,5 to 6 ounces
september morn cocktail,cocktail classics,1 oz,egg white,1 oz,light rum,1/2 oz,juice of a lime,1 oz,grenadine,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
peach iced tea,vodka,1 1/2 oz,peach-flavored vodka,1/2 oz,orange curacao,3/4 oz,fresh lemon juice,1/2 oz,honey syrup,2 oz,iced tea,,"peach slice, lemon wheel",shake with ice and strain into ice-filled collins glass. garnish with peach and lemon.,collins glass,14 to 16 ounces
fantasio cocktail,brandy,1 oz,brandy,3/4 oz,dry vermouth,1 oz,white creme de menthe,1 oz,maraschino liqueur,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
scotch bird flyer,cocktail classics,1 1/2 oz,scotch,1 oz,egg yolk,1/2 oz,triple sec,1/2 oz,powdered sugar,1 oz,light cream,,,shake with ice and strain into champagne flute.,champagne flute,6 to 8 ounces
algonquin,whiskies,1 1/2 oz,straight rye whiskey,1 oz,dry vermouth,1 oz,pineapple juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
savannah,cocktail classics,1/2 oz,juice of orange,1 oz,gin,1 oz,white creme de cacao,1 oz,egg white,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
pink rose fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,2 oz,light cream,2 oz,gin,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
ninotchka cocktail,vodka,1 1/2 oz,vodka,1/2 oz,white creme de cacao,1/4 oz,fresh lemon juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
prairie oyster,cocktail classics,1 oz,brandy,1 oz,worcestershire sauce,1 oz,catsup,1 oz,vinegar,1 oz,pepper,,,shake with ice and strain into old-fashioned glass over two ice cubes.  place an egg yolk on top without breaking it. add a dash of cayenne pepper.,old-fashioned glass,6 to 8 ounces
prairie chicken,cocktail classics,1 oz,gin,1 oz,whole egg,,pepper and salt,,,,,,,open egg without breaking the yolk and put in wine glass. pour gin on top. add pepper and salt.,red-wine glass,12 to 24 ounces
pousse l'amour,cocktail classics,1 oz,maraschino,1 oz,egg yolk,1/2 oz,benedictine,1/2 oz,brandy,,,,,"pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",sherry glass,4 to 6 ounces
puerto apple,cocktail classics,1 1/2 oz,applejack,3/4 oz,light rum,1 oz,lime juice,1 oz,orgeat syrup,,,,,shake with ice and strain into old-fashioned glass over ice cubes. decorate with a slice of lime.,old-fashioned glass,6 to 8 ounces
akogare,whiskies,1 1/2 oz,straight rye whiskey,3/4 oz,ginger syrup,3/4 oz,"cold brewed black tea, preferably japanese",3/4 oz,fresh lemon juice,,,,,shake with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
prado,cocktail classics,1 1/2 oz,tequila,3/4 oz,lemon juice,1 oz,maraschino,1/2 oz,egg white,1 oz,grenadine,,,shake with ice and strain into sour glass. add a slice of lime and a cherry.,sour glass,5 to 6 ounces
port wine flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,port,2 oz,light cream (if desired),,,,,shake with ice and strain into sour glass. sprinkle a little nutmeg on top.,sour glass,5 to 6 ounces
port wine cobbler,cocktail classics,1 tsp,powdered sugar,2 oz,carbonated water,,shaved ice,3 oz,port,,,,,dissolve 1 teaspoon powdered sugar in 2 oz. carbonated water; then fill goblet with shaved ice and add 3 oz. port. stir and decorate with fruits in season. serve with straws.,red-wine glass,12 to 24 ounces
nijinksy blini,vodka,1 oz,vodka,1 oz,peach schnapps,1 oz,peach puree,1/4 oz,fresh lemon juice,,,,,shake first four ingredients with ice. strain into chilled champagne flute and top with champagne.,champagne flute,6 to 8 ounces
affinity cocktail (whisky),whiskies,1 oz,blended scotch whiskey,1 oz,dry vermouth,1 oz,sweet vermouth,3 oz,orange bitters,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
plain vermouth cocktail,cocktail classics,1 oz,dry vermouth,1 oz,sweet vermouth,1 oz,orange bitters,,,,,,,see vermouth cocktail on page 189.,cocktail glass,6 or more ounces
ping-pong cocktail,cocktail classics,1/4 oz,juice of a lemon,1 oz,egg white,2 oz,sloe gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
moscow mule,vodka,1 1/2 oz,vodka,1/2 oz,fresh lime juice,,ginger beer,,lime wedge,,,,,pour vodka and lime juice into copper moscow mule mug or standard beer mug. add ice cubes and fill with ginger beer. squeeze lime wedge and add to glass.,beer mug,10 to 12 ounces
phoebe snow,cocktail classics,1 1/2 oz,dubonnet,1 1/2 oz,brandy,1/2 oz,anis,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
affinity cocktail,whiskies,2 oz,straight rye whiskey,3/4 oz,maraschino liqueur,3/4 oz,fresh lemon juice,2 oz,orange bitters,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
peggy cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/4 oz,anis,1/4 oz,dubonnet,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
peach blow fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,light cream,2 oz,gin,1/4 oz,peach,,,shake with ice and strain into highball glass over ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
peach blossom,cocktail classics,1 oz,lemon juice,1/2 oz,powdered sugar,2 oz,gin,1/2 oz,peach,,,,,shake with ice and strain into highball glass over ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
passion mimosa,cocktail classics,2 oz,chilled passion fruit juice,,chilled champagne,,,,,,,,,"pour chilled juice into champagne flute, fill with chilled champagne. garnish with strawberry.",champagne flute,6 to 8 ounces
mocha express,vodka,1 1/2 oz,vodka,3/4 oz,irish cream liqueur,3/4 oz,coffee liqueur,3/4 oz,cold brewed espresso coffee,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
palmer cocktail,cocktail classics,2 oz,blended whiskey,1 oz,bitters,1/2 oz,lemon juice,,,,,,,stir with ice and strain in cocktail glass.,cocktail glass,6 or more ounces
mr. 404,vodka,1 1/2 oz,vodka,3/4 oz,elderflower liqueur,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1/2 oz,aperol,,orange twist,shake with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
mountain cocktail,cocktail classics,1 oz,egg white,1/4 oz,lemon juice,1/4 oz,dry vermouth,1/4 oz,sweet vermouth,1 1/2 oz,blended whiskey,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
morning glory fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1/2 oz,anis,2 oz,scotch,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
adderly cocktail,whiskies,2 oz,straight rye whiskey,3/4 oz,maraschino liqueur,2 oz,orange bitters,3/4 oz,fresh lemon juice,,,,,shake with ice and strain into cocktail glass. flame orange twist and add.,cocktail glass,6 or more ounces
fancy brandy,brandy,2 oz,brandy,1/4 oz,triple sec,1/4 oz,simple syrup,1 oz,angostura bitters,,,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
montreal gin sour,cocktail classics,1 oz,gin,1 oz,lemon juice,1/2 oz,egg white,1 oz,powdered sugar,,,,,shake with ice and strain into sour glass. add a slice of lemon.,sour glass,5 to 6 ounces
montezuma,cocktail classics,1 1/2 oz,tequila,1 oz,madeira,1 oz,egg yolk,1/2 oz,crushed ice,,,,,mix in blender at low speed and serve in champagne flute.,champagne flute,6 to 8 ounces
miss jones,vodka,1 1/2 oz,vanilla-flavored vodka,1 oz,fresh lemon juice,1/2 oz,butterscotch schnapps,1/2 oz,limoncello,,,,,shake with ice and strain into chilled cocktail glass. garnish with star anise.,cocktail glass,6 or more ounces
mint gin cocktail,cocktail classics,1 oz,mint-flavored gin,1 oz,white port wine,1 1/2 oz,dry vermouth,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
mint collins,cocktail classics,1/2 oz,juice of a lemon,2 oz,mint-flavored gin,,,,,,,,,"shake with ice and strain into collins glass. add several ice cubes, fill with carbonated water, and stir. decorate with slices of lemon and orange, and a cherry. serve with straws.",collins glass,14 to 16 ounces
million-dollar cocktail,cocktail classics,2 oz,pineapple juice,1 oz,grenadine,1 oz,egg white,3/4 oz,sweet vermouth,1 1/2 oz,gin,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
millionaire cocktail,cocktail classics,1 oz,egg white,1/4 oz,grenadine,1/2 oz,triple sec,1 1/2 oz,blended whiskey,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
